x1,y1,x2,y2,x3,y3,x4,y4
414.076,387.308,893.561,241.824,582.248,269.559,793.578,249.929
416.783,387.098,891.31,240.54,577.433,270.163,793.703,248.503
418.702,387.067,889.247,239.183,573.852,270.8,793.638,247.534
421.164,386.924,887.456,238.144,569.886,271.374,793.802,246.292
423.254,386.904,884.926,236.697,566.087,272.207,793.948,246.235
425.641,386.594,883.117,235.704,562.373,272.962,794.005,245.878
427.386,386.344,880.986,234.484,559.498,273.681,794.228,245.29
429.121,386.346,879.169,233.391,556.485,274.781,794.162,244.949
430.582,386.295,877.018,232.223,553.775,275.661,794.155,244.339
431.639,386.308,874.1,230.625,551.156,276.508,794.364,243.869
432.938,386.375,870.275,228.631,548.626,277.388,794.32,243.684
434.17,386.388,867.694,227.394,546.252,278.143,794.252,243.172
435.558,386.203,865.873,226.339,544.008,279.165,793.732,240.922
436.977,385.836,863.221,225.09,541.627,279.914,792.122,241.396
438.138,385.811,861.275,224.34,539.248,280.758,791.062,241.715
439.507,385.741,857.962,222.944,537.559,281.38,789.314,240.976
440.605,385.652,853.496,221.192,535.48,282.256,787.976,241.061
441.688,385.677,849.323,219.339,533.609,282.804,785.575,240.812
442.93,385.514,845.276,217.601,531.583,283.501,782.256,240.656
444.128,385.424,841.079,215.751,529.748,284.267,777.134,240.271
445.08,385.312,837.446,214.12,527.809,284.418,772.499,239.911
445.986,385.423,833.109,212.253,525.811,284.454,767.739,239.599
447.016,385.186,829.526,210.655,523.869,284.253,763.13,239.144
448.253,385.013,826.024,209.237,521.964,284.096,759.049,238.875
448.85,385.022,822.443,207.786,520.443,284.004,754.706,238.26
449.957,385.151,819.198,206.367,518.903,283.882,750.64,237.199
450.675,385.089,815.954,204.989,517.676,283.766,746.458,235.862
451.66,385.051,811.94,203.204,516.308,283.598,742.481,234.549
452.176,385.076,808.804,202.106,515.469,283.995,738.957,233.515
453.277,384.978,806.098,201.004,514.189,284.059,736.585,232.491
454.307,384.924,802.993,199.701,512.887,284.09,733.73,231.337
454.937,385.052,799.863,198.43,511.338,284.206,730.866,230.061
455.471,385.098,796.716,197.348,510.161,284.262,727.61,228.177
456.788,385.066,793.629,196.268,508.635,284.364,724.34,225.566
457.136,385.067,790.904,195.369,507.664,284.51,721.846,222.704
457.874,385.113,788.099,194.276,505.982,284.654,719.462,219.518
458.805,385.131,785.705,193.59,504.934,284.79,717.763,216.135
459.654,385.225,782.258,192.348,503.241,284.756,715.163,211.125
460.504,385.232,779.98,191.682,502.756,285.341,713.594,206.386
461.342,385.109,777.636,190.819,501.077,285.062,712.111,203.33
461.939,385.366,774.046,189.81,500.205,285.351,710.624,200.36
462.757,385.385,772.052,188.992,499.29,285.329,709.266,196.615
462.602,385.761,769.3,188.225,497.994,284.366,708.031,193.311
463.222,386.169,766.283,187.35,496.363,282.408,706.841,190.248
463.638,386.4,764.717,186.98,495.573,280.849,706.214,188.348
464.942,386.354,762.306,186.211,495.073,279.233,705.134,185.636
466.144,386.356,759.891,185.485,494.147,277.719,704.634,182.069
466.995,386.449,757.439,184.88,493.207,276.21,703.905,180.152
468.631,385.989,754.434,183.972,492.064,274.789,705.865,179.075
470.561,385.405,751.43,183.064,491.174,273.705,707.825,177.997
471.38,385.05,748.425,182.156,489.853,272.302,709.785,176.92
472.144,385.031,745.42,181.248,487.611,270.646,711.745,175.842
