x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
872.273,1996.078,1631.766,1799.407,370.321,1827.16,1576.311,1526.003,nan,nan,322.455,1248.852,1702.149,948.461,554.704,813.89,729.55,746.361,883.883,359.516,373.355,378.942,1639.449,231.049
880.334,1990.485,1631.172,1797.607,370.206,1828.245,1575.998,1526.013,nan,nan,322.946,1246.909,1701.345,948.647,554.541,814.266,729.352,747.119,889.368,370.494,373.022,378.372,1637.399,234.726
874.858,1970.285,1631.062,1796.765,370.261,1829.894,1575.506,1526.068,nan,nan,323.425,1248.093,1702.147,950.295,554.286,814.679,730.164,746.115,892.595,376.121,373.183,378.744,1635.122,239.689
873.179,1963.679,1630.91,1796.085,372.134,1828.353,1575.464,1526.024,nan,nan,324.964,1247.92,1716.416,946.778,553.385,814.951,730.132,745.125,893.357,377.858,372.188,378.623,1634.424,241.323
872.946,1960.703,1630.802,1795.139,371.838,1829.695,1576.764,1526.393,nan,nan,328.068,1245.441,1725.089,942.074,553.479,815.742,730.421,745.181,894.498,380.195,373.798,378.361,1633.493,243.815
873.456,1956.933,1631.526,1794.478,371.797,1830.602,1576.52,1526.437,nan,nan,329.805,1240.189,1727.591,939.346,553.222,815.715,730.526,745.069,895.393,381.012,380.76,370.371,1632.275,245.976
873.259,1954.652,1629.067,1786.093,372.233,1830.653,1575.961,1526.334,nan,nan,330.666,1238.073,1727.681,938.302,553.216,817.027,732.136,739.676,895.694,382.175,386.468,367.016,1631.786,248.285
874.049,1952.927,1628.332,1781.732,372.435,1831.717,1575.99,1526.554,nan,nan,331.844,1235.204,1728.553,938.289,551.784,817.673,738.501,732.711,897.378,384.122,390.265,365.74,1631.107,250.44
874.209,1951.413,1627.023,1778.42,372.376,1832.057,1574.969,1526.055,nan,nan,331.801,1236.156,1728.294,937.902,540.66,833.125,745.142,722.772,897.653,384.822,392.036,364.849,1629.88,251.896
874.449,1951.358,1627.289,1777.814,371.599,1834.225,1576.455,1526.783,nan,nan,332.231,1235.435,1728.235,938.178,542.823,848.091,755.243,709.114,898.291,386.723,392.451,364.483,1629.107,253.775
874.61,1951.685,1628.722,1785.027,371.845,1834.69,1576.169,1526.972,nan,nan,332.474,1234.852,1721.655,936.14,544.692,856.69,767.109,692.236,898.994,386.86,392.968,363.894,1628.299,255.974
874.328,1949.45,1627.39,1775.933,371.291,1835.486,1575.114,1526.715,nan,nan,332.403,1234.342,1716.837,911.382,543.498,861.575,779.909,680.059,898.896,387.062,393.444,363.321,1638.991,264.031
874.272,1947.437,1627.293,1774.195,372.278,1835.036,1575.531,1526.894,nan,nan,333.026,1234.435,1719.969,896.514,544.124,863.814,787.65,673.764,899.528,387.79,395.004,362.796,1649.557,284.126
874.485,1945.867,1626.724,1769.732,372.375,1835.146,1575.646,1526.848,nan,nan,332.899,1234.614,1720.832,880.348,543.595,867.215,797.854,665.007,899.631,388.194,394.709,362.47,1653.713,294.342
874.551,1945.219,1627.124,1770.266,372.158,1836.284,1576.072,1526.987,nan,nan,333.283,1233.919,1721.194,869.525,nan,nan,801.758,662.862,900.177,388.749,395.464,361.922,1655.398,299.636
874.775,1944.136,1627.044,1769.612,372.069,1837.387,1576.63,1527.063,nan,nan,343.532,1243.612,1721.502,865.827,nan,nan,805.081,661.057,900.792,389.291,395.909,365.718,1659.455,310.667
874.606,1943.223,1626.337,1769.181,375.682,1838.896,1575.841,1527.259,nan,nan,368.805,1251.593,1722.587,862.81,542.857,871.503,808.203,659.74,901.284,390.371,399.56,369.745,1661.027,313.791
874.963,1943.588,1626.129,1768.385,388.997,1842.796,1575.805,1527.403,nan,nan,386.866,1256.403,1722.201,861.806,542.528,872.14,809.798,658.841,901.84,390.415,405.57,371.766,1661.551,316.479
